2024-07-03 15:36:25.962 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - "Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable" 
2024-07-03 15:36:25.963 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - "For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'" 
2024-07-03 15:36:26.379 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - "Bootstrapping Spring Data JPA repositories in DEFAULT mode." 
2024-07-03 15:36:26.416 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - "Finished Spring Data repository scanning in 31 ms. Found 1 JPA repository interface." 
2024-07-03 15:36:26.793 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - "Tomcat initialized with port 8080 (http)" 
2024-07-03 15:36:26.801 [restartedMain] INFO  o.a.catalina.core.StandardService - "Starting service [Tomcat]" 
2024-07-03 15:36:26.801 [restartedMain] INFO  o.a.catalina.core.StandardEngine - "Starting Servlet engine: [Apache Tomcat/10.1.25]" 
2024-07-03 15:36:26.837 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - "Initializing Spring embedded WebApplicationContext" 
2024-07-03 15:36:26.838 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - "Root WebApplicationContext: initialization completed in 875 ms" 
2024-07-03 15:36:26.938 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - "HHH000204: Processing PersistenceUnitInfo [name: default]" 
2024-07-03 15:36:26.979 [restartedMain] INFO  org.hibernate.Version - "HHH000412: Hibernate ORM core version 6.5.2.Final" 
2024-07-03 15:36:27.006 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - "HHH000026: Second-level cache disabled" 
2024-07-03 15:36:27.234 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - "No LoadTimeWeaver setup: ignoring JPA class transformer" 
2024-07-03 15:36:27.254 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - "HikariPool-1 - Starting..." 
2024-07-03 15:36:27.556 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - "HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@6100821f" 
2024-07-03 15:36:27.558 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - "HikariPool-1 - Start completed." 
2024-07-03 15:36:28.238 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - "HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)" 
2024-07-03 15:36:28.294 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - "Initialized JPA EntityManagerFactory for persistence unit 'default'" 
2024-07-03 15:36:28.523 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - "spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning" 
2024-07-03 15:36:28.745 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - "LiveReload server is running on port 35729" 
2024-07-03 15:36:28.770 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - "Tomcat started on port 8080 (http) with context path '/'" 
2024-07-03 15:36:28.776 [restartedMain] INFO  c.c.bottletalk.BottleTalkApplication - "Started BottleTalkApplication in 3.382 seconds (process running for 3.844)" 
2024-07-03 16:20:48.423 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - "Closing JPA EntityManagerFactory for persistence unit 'default'" 
2024-07-03 16:20:48.435 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - "HikariPool-1 - Shutdown initiated..." 
2024-07-03 16:20:48.505 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - "HikariPool-1 - Shutdown completed." 
2024-07-03 16:22:25.658 [restartedMain] INFO  c.c.bottletalk.BottleTalkApplication - "Starting BottleTalkApplication using Java 17.0.11 with PID 17952 (C:\himedia\BottelTalk\build\classes\java\main started by tiq00 in C:\himedia\BottelTalk)" 
2024-07-03 16:22:25.660 [restartedMain] INFO  c.c.bottletalk.BottleTalkApplication - "No active profile set, falling back to 1 default profile: "default"" 
2024-07-03 16:22:25.689 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - "Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable" 
2024-07-03 16:22:25.689 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - "For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'" 
2024-07-03 16:22:26.213 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - "Bootstrapping Spring Data JPA repositories in DEFAULT mode." 
2024-07-03 16:22:26.255 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - "Finished Spring Data repository scanning in 35 ms. Found 1 JPA repository interface." 
2024-07-03 16:22:26.685 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - "Tomcat initialized with port 8080 (http)" 
2024-07-03 16:22:26.693 [restartedMain] INFO  o.a.catalina.core.StandardService - "Starting service [Tomcat]" 
2024-07-03 16:22:26.695 [restartedMain] INFO  o.a.catalina.core.StandardEngine - "Starting Servlet engine: [Apache Tomcat/10.1.25]" 
2024-07-03 16:22:26.732 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - "Initializing Spring embedded WebApplicationContext" 
2024-07-03 16:22:26.733 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - "Root WebApplicationContext: initialization completed in 1044 ms" 
2024-07-03 16:22:26.848 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - "HHH000204: Processing PersistenceUnitInfo [name: default]" 
2024-07-03 16:22:26.911 [restartedMain] INFO  org.hibernate.Version - "HHH000412: Hibernate ORM core version 6.5.2.Final" 
2024-07-03 16:22:26.946 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - "HHH000026: Second-level cache disabled" 
2024-07-03 16:22:27.226 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - "No LoadTimeWeaver setup: ignoring JPA class transformer" 
2024-07-03 16:22:27.255 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - "HikariPool-1 - Starting..." 
2024-07-03 16:22:27.629 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - "HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@28133c0" 
2024-07-03 16:22:27.630 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - "HikariPool-1 - Start completed." 
2024-07-03 16:22:28.436 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - "HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)" 
2024-07-03 16:22:28.495 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - "Initialized JPA EntityManagerFactory for persistence unit 'default'" 
2024-07-03 16:22:28.729 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - "spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning" 
2024-07-03 16:22:28.953 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - "LiveReload server is running on port 35729" 
2024-07-03 16:22:28.981 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - "Tomcat started on port 8080 (http) with context path '/'" 
2024-07-03 16:22:28.987 [restartedMain] INFO  c.c.bottletalk.BottleTalkApplication - "Started BottleTalkApplication in 4.053 seconds (process running for 4.528)" 
